field	count	
birthday,country,fideid,games,name,rapid_games,rapid_k,rapid_rating,rating,sex	7
birthday,country,fideid,games,name,rating,sex	45
birthday,country,fideid,name	147
birthday,country,fideid,name,o_title	1
birthday,country,fideid,name,o_title,rapid_games,rapid_k,rapid_rating,sex	17
birthday,country,fideid,name,o_title,sex	1593
birthday,country,fideid,name,o_title,sex,title	2
birthday,country,fideid,name,rapid_games,rapid_k,rapid_rating	1
birthday,country,fideid,name,rapid_games,rapid_k,rapid_rating,sex	5086
birthday,country,fideid,name,rapid_games,rapid_k,rapid_rating,sex,title	1
birthday,country,fideid,name,sex	230620
birthday,country,fideid,name,sex,title	48
birthday,country,fideid,name,sex,title,w_title	2
blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,o_title,rapid_games,rapid_k,rapid_rating,rating,sex	1
blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,o_title,rating,sex	1
blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,rapid_games,rapid_k,rapid_rating,rating,sex	183
blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,rapid_games,rapid_k,rapid_rating,rating,sex,title	4
blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,rapid_games,rapid_k,rapid_rating,rating,sex,title,w_title	2
blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,rating	2
blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,rating,sex	199
blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,rating,sex,title	4
blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,rating,sex,title,w_title	3
blitz_games,blitz_k,blitz_rating,country,fideid,flag,name,rapid_games,rapid_k,rapid_rating,sex	3
blitz_games,blitz_k,blitz_rating,country,fideid,flag,name,sex	4
blitz_games,blitz_k,blitz_rating,country,fideid,games,k,name,o_title,rapid_games,rapid_k,rapid_rating,rating,sex	6
blitz_games,blitz_k,blitz_rating,country,fideid,games,k,name,o_title,rating,sex	1
blitz_games,blitz_k,blitz_rating,country,fideid,games,k,name,o_title,rating,sex,title	1
blitz_games,blitz_k,blitz_rating,country,fideid,games,k,name,rapid_games,rapid_k,rapid_rating,rating	8
blitz_games,blitz_k,blitz_rating,country,fideid,games,k,name,rapid_games,rapid_k,rapid_rating,rating,sex	376
blitz_games,blitz_k,blitz_rating,country,fideid,games,k,name,rapid_games,rapid_k,rapid_rating,rating,sex,title	12
blitz_games,blitz_k,blitz_rating,country,fideid,games,k,name,rating	8
blitz_games,blitz_k,blitz_rating,country,fideid,games,k,name,rating,sex	318
blitz_games,blitz_k,blitz_rating,country,fideid,games,k,name,rating,sex,title	7
blitz_games,blitz_k,blitz_rating,country,fideid,name	2
blitz_games,blitz_k,blitz_rating,country,fideid,name,o_title,sex	2
blitz_games,blitz_k,blitz_rating,country,fideid,name,rapid_games,rapid_k,rapid_rating,sex	65
blitz_games,blitz_k,blitz_rating,country,fideid,name,sex	278
country,fideid	2
country,fideid,flag,games,k,name,o_title,rapid_games,rapid_k,rapid_rating,rating,sex	2
country,fideid,flag,games,k,name,o_title,rating,sex	29
country,fideid,flag,games,k,name,o_title,rating,sex,title	2
country,fideid,flag,games,k,name,rapid_games,rapid_k,rapid_rating,rating	5
country,fideid,flag,games,k,name,rapid_games,rapid_k,rapid_rating,rating,sex	219
country,fideid,flag,games,k,name,rapid_games,rapid_k,rapid_rating,rating,sex,title	6
country,fideid,flag,games,k,name,rating	76
country,fideid,flag,games,k,name,rating,sex	4939
country,fideid,flag,games,k,name,rating,sex,title	117
country,fideid,flag,games,k,name,rating,sex,title,w_title	31
country,fideid,flag,games,name,rapid_games,rapid_k,rapid_rating,rating,sex	1
country,fideid,flag,name,o_title,sex	30
country,fideid,flag,name,rapid_games,rapid_k,rapid_rating,sex	5
country,fideid,flag,name,sex	2949
country,fideid,flag,name,sex,title,w_title	4
country,fideid,games,k,name,o_title,rapid_games,rapid_k,rapid_rating,rating,sex	2
country,fideid,games,k,name,o_title,rating,sex	14
country,fideid,games,k,name,rapid_games,rapid_k,rapid_rating,rating	7
country,fideid,games,k,name,rapid_games,rapid_k,rapid_rating,rating,sex	268
country,fideid,games,k,name,rapid_games,rapid_k,rapid_rating,rating,sex,title	5
country,fideid,games,k,name,rating	28
country,fideid,games,k,name,rating,sex	1631
country,fideid,games,k,name,rating,sex,title	12
country,fideid,games,name,rating,sex	1
country,fideid,name	643
country,fideid,name,o_title	2
country,fideid,name,o_title,rapid_games,rapid_k,rapid_rating,sex	2
country,fideid,name,o_title,sex	441
country,fideid,name,rapid_games,rapid_k,rapid_rating	3
country,fideid,name,rapid_games,rapid_k,rapid_rating,sex	170
country,fideid,name,sex	24718
country,fideid,name,sex,title	3
